timestamp_ms,ax,ay,az
1108504404.0,-3.4585261,-9.236594,1.1482558
1108504424.0,-3.7244284,-9.205488,0.6765706
1108504444.0,-3.5757744,-9.097511,0.33409786
1108504463.0,-3.3101711,-9.162417,0.48993045
1108504483.0,-3.2192438,-9.523733,1.023829
1108504503.0,-3.1809585,-9.58834,0.91585284
1108504523.0,-3.1331022,-9.294023,0.45164528
1108504542.0,-3.2240293,-9.183952,0.40618163
1108504562.0,-3.2359936,-9.260523,0.80817586
1108504582.0,-3.188137,-9.274879,1.0405787
1108504602.0,-2.998805,-9.145667,0.8847462
1108504621.0,-2.8480573,-9.018549,0.71246296
1108504641.0,-2.8719854,-9.049655,0.72442704
1108504661.0,-2.9198418,-9.167203,0.8560323
1108504680.0,-3.013162,-9.155238,0.76749784
1108504700.0,-3.0155547,-9.071191,0.5138587
1108504720.0,-3.0299118,-8.973084,0.18095721
1108504740.0,-3.2240293,-8.886943,-0.0056829536
1108504759.0,-3.4130623,-8.815159,-0.022432713
1108504779.0,-3.4872398,-8.927621,0.0014955142
1108504799.0,-3.5853457,-9.004191,-0.15882361
1108504819.0,-3.6236308,-9.004191,-0.3385844
1108504838.0,-3.8057845,-8.913264,-0.34337005
1108504858.0,-4.0594234,-8.755338,0.05174479
1108504878.0,-4.267898,-8.7266245,0.6023931
1108504898.0,-4.1407795,-8.898908,0.5377869
1108504917.0,-3.839284,-8.992228,0.16181463
1108504937.0,-3.3197422,-9.123833,-0.015254244
1108504957.0,-3.03709,-9.1719885,-0.15164514
1108504977.0,-3.0825539,-9.14806,-0.2835495
1108504996.0,-3.37717,-9.109476,-0.27876383
1108505016.0,-3.6547375,-9.016156,-0.276371
1108505036.0,-3.769892,-8.9826565,-0.32422748
1108505055.0,-3.81057,-9.025727,-0.35294133
1108505075.0,-3.6837504,-9.114262,-0.19232312
1108505095.0,-3.417848,-9.126225,0.07328019
1108505115.0,-3.2383864,-9.140882,0.09960124
1108505134.0,-3.1713872,-9.128618,0.12592229
1108505154.0,-3.1809585,-9.179167,0.14745769
1108505174.0,-3.1618161,-9.236594,0.14985052
1108505194.0,-3.1016963,-9.205488,0.25034907
1108505213.0,-3.0873394,-9.186345,0.40618163
1108505233.0,-3.1689944,-9.2437725,0.48993045
