timestamp_ms,ax,ay,az
1108521714.0,-3.039483,-9.1719885,-0.31465617
1108521734.0,-3.0825539,-9.205488,-0.2213361
1108521753.0,-3.05384,-9.227023,-0.115752794
1108521773.0,-3.0275187,-9.176774,-0.16600206
1108521793.0,-3.0729825,-9.169596,-0.27158538
1108521813.0,-3.1016963,-9.174381,-0.2739782
1108521832.0,-3.0227332,-9.1719885,-0.22851457
1108521852.0,-2.9198418,-9.262916,-0.26679972
1108521872.0,-2.8145576,-9.2437725,-0.31465617
1108521891.0,-2.7044878,-9.174381,-0.30987054
1108521911.0,-2.6446671,-9.277272,-0.25244278
1108521931.0,-2.6374888,-9.344272,-0.17557336
1108521951.0,-2.8145576,-9.3155575,-0.2548356
1108521970.0,-2.996412,-9.203095,-0.18514465
1108521990.0,-3.164209,-9.152845,-0.09421739
1108522010.0,-3.2407792,-9.229416,-0.23330021
1108522030.0,-3.1857443,-9.234201,-0.36251262
1108522049.0,-3.0993035,-9.200702,-0.39601216
1108522069.0,-3.1618161,-9.22463,-0.40558344
1108522089.0,-3.228815,-9.193523,-0.24765715
1108522109.0,-3.2718859,-9.119047,-0.16121642
1108522128.0,-3.243172,-9.131011,-0.31944183
1108522148.0,-3.1331022,-9.207881,-0.45104706
1108522168.0,-3.0897322,-9.260523,-0.46301118
1108522187.0,-3.0705895,-9.176774,-0.4031906
1108522207.0,-3.1450663,-9.200702,-0.3074777
1108522227.0,-3.243172,-9.195916,-0.25722843
1108522247.0,-3.1833515,-9.059227,-0.42711884
1108522266.0,-3.0729825,-9.176774,-0.67118675
1108522286.0,-2.9485557,-9.114262,-0.613759
1108522306.0,-2.6470602,-8.9013,-0.5395815
1108522326.0,-2.5199413,-9.064013,-0.7286145
1108522345.0,-2.7667012,-9.358628,-0.65922266
1108522365.0,-2.8049862,-9.432806,-0.6041877
1108522385.0,-2.4792633,-9.518948,-1.047159
1108522405.0,-2.077269,-9.439984,-1.5260227
1108522424.0,-1.8831514,-9.387342,-1.6097715
1108522444.0,-1.8975084,-9.595518,-1.3103695
1108522464.0,-1.998306,-9.748958,-0.6520442
1108522484.0,-2.2615166,-9.578768,0.29341987
1108522503.0,-2.4625137,-9.435199,1.131506
1108522523.0,-2.5486553,-9.547662,1.3037893
1108522543.0,-2.632703,-9.573982,0.9086744
1108522562.0,-2.51037,-9.423235,0.37268212
1108522582.0,-2.2615166,-9.466306,-0.15882361
1108522602.0,-2.0198414,-9.526126,-0.56829536
1108522622.0,-1.9046868,-9.674481,-0.80787677
1108522641.0,-1.8807586,-9.576375,-0.613759
1108522661.0,-1.7587247,-9.466306,-0.022432713
1108522681.0,-1.7012969,-9.741779,0.43968117
1108522701.0,-1.7347964,-9.81835,0.549751
1108522720.0,-1.7491534,-9.626625,0.2527419
1108522740.0,-1.6797615,-9.504591,-0.28115666
1108522760.0,-1.3923237,-9.669696,-0.94666046
1108522780.0,-1.1123635,-9.91167,-1.5308083
1108522799.0,-0.99032944,-9.882956,-1.6480566
1108522819.0,-0.96400845,-9.815957,-1.4303098
1108522839.0,-1.0716854,-9.782457,-1.2577274
1108522859.0,-1.2678969,-9.701101,-1.1524432
1108522878.0,-1.4763715,-9.633803,-1.102194
1108522898.0,-1.6342978,-9.645767,-1.0591232
1108522918.0,-1.5002998,-9.645767,-1.0232308
1108522937.0,-1.3181462,-9.509377,-1.0208379
1108522957.0,-1.1937194,-9.576375,-0.74536425
1108522977.0,-1.0597214,-9.736994,-0.06550352
1108522997.0,-0.76510507,-10.009775,1.064507
1108523016.0,-0.5353941,-9.997811,1.8807586
1108523036.0,-0.5952146,-9.744172,1.6103697
1108523056.0,-1.0262218,-9.777672,1.753939
1108523076.0,-2.2064817,-10.37139,4.0594234
1108523095.0,-3.8297126,-11.75504,5.4960146
1108523115.0,-3.973282,-12.652947,2.3787649
1108523135.0,-3.0921252,-11.9515505,-2.0479572
1108523155.0,-1.9166509,-11.118251,-3.7477584
1108523174.0,-1.4524434,-9.964312,-3.3550365
1108523194.0,-1.4763715,-8.769695,-2.498107
1108523214.0,-0.91854477,-8.262117,-0.6735796
1108523234.0,-0.2551347,-8.542078,2.295016
1108523253.0,-1.0597214,-9.361021,0.7722835
1108523273.0,-2.309373,-10.040882,-1.0806586
1108523293.0,-2.5776682,-10.823934,-2.1005993
1108523312.0,-2.1969104,-11.374283,-1.3896317
1108523332.0,-1.7730815,-11.359925,0.0062811594
1108523352.0,-2.21366,-10.912468,-0.23330021
1108523372.0,-2.7786653,-10.579566,-1.9809581
1108523391.0,-2.8480573,-10.179666,-2.4502504
1108523411.0,-2.9150562,-9.559626,-1.7246269
1108523431.0,-3.0490541,-8.997013,-0.94666046
1108523451.0,-3.3173494,-8.52772,-0.6305088
1108523470.0,-3.714857,-8.673982,-0.06550352
1108523490.0,-4.119244,-8.999406,1.6319051
1108523510.0,-5.081757,-8.417651,3.3221352
1108523530.0,-5.7352967,-7.278069,3.970889
1108523549.0,-5.7281184,-6.5479593,4.267599
1108523569.0,-4.8496532,-6.3661046,3.8727834
1108523589.0,-3.6068811,-7.029216,2.5893333
1108523609.0,-2.4050858,-8.329117,1.5002998
1108523628.0,-0.37507495,-10.117453,1.0740783
1108523648.0,1.9594226,-10.943574,0.8679964
1108523668.0,2.289632,-10.244272,-3.3311083
1108523687.0,0.97537434,-9.205488,-5.5576296
1108523707.0,0.07507481,-10.246665,0.1378864
1108523727.0,0.47736812,-16.493128,10.20509
1108523747.0,-0.73399836,-17.831314,0.9305089
1108523766.0,0.7262217,-9.401699,5.9099727
1108523786.0,-0.7268199,-4.8912287,5.503193
1108523806.0,-2.1083758,-7.2206416,-2.2010977
1108523826.0,-4.3061833,-10.117453,-3.1229327
1108523845.0,-4.1838503,-12.243475,-3.8650067
1108523865.0,-3.0921252,-12.049657,-4.592724
1108523885.0,-3.202494,-10.586744,-4.932804
1108523905.0,-4.3372903,-9.188738,-3.2569308
1108523924.0,-4.8041897,-8.839087,-1.4566308
1108523944.0,-4.3037906,-9.736994,-1.006481
1108523964.0,-4.3995037,-10.162916,-1.1787642
1108523984.0,-4.282255,-9.286844,-1.494916
1108524003.0,-3.6885362,-8.178369,-1.7892331
1108524023.0,-3.539882,-7.349854,-2.2800608
1108524043.0,-4.0594234,-7.2876406,-1.5475581
1108524062.0,-5.2109694,-7.373782,2.2902303
1108524082.0,-5.2109694,-7.32114,5.0506506
1108524102.0,-3.7890346,-7.3977103,3.9517467
1108524122.0,-2.3955145,-8.173583,0.846461
1108524141.0,-1.9525433,-8.839087,-1.3199408
1108524161.0,-1.9740787,-9.253345,-2.6656044
1108524181.0,-1.998306,-9.566804,-2.617748
1108524201.0,-2.3285155,-9.607482,-1.7246269
1108524220.0,-2.6255248,-9.657731,-0.21415763
1108524240.0,-2.1514466,-9.880563,2.8193433
1108524260.0,-1.4114662,-10.014561,3.9541395
1108524280.0,-1.2559328,-10.378569,2.0147567
1108524299.0,-1.442872,-10.689636,-0.44626144
1108524319.0,-1.6390835,-10.529317,-0.23330021
1108524339.0,-1.3683954,-10.222736,2.5558336
1108524359.0,-0.590429,-10.955539,4.8158545
1108524378.0,-0.18813568,-12.619448,3.7292142
1108524398.0,-0.24795625,-13.19881,1.1003993
1108524418.0,0.03918247,-12.6218405,-1.0112667
1108524437.0,-0.73399836,-11.635399,-0.3912265
1108524457.0,-2.7786653,-10.744671,0.19531415
1108524477.0,-3.772285,-11.566008,-1.6600207
1108524497.0,-4.325326,-13.586447,-3.0846474
1108524516.0,-4.406682,-14.137095,-3.077469
1108524536.0,-3.7220356,-12.12862,-2.6344976
1108524556.0,-2.6925237,-9.78485,-1.6504494
1108524576.0,-1.942972,-8.932407,1.2870395
1108524595.0,-1.9501505,-8.913264,2.2088745
1108524615.0,-2.1658037,-9.152845,-0.8341978
1108524635.0,-2.0748763,-9.279665,-3.7022948
1108524655.0,-2.0078773,-9.227023,-2.8522446
1108524674.0,-1.9214365,-9.126225,-0.39601216
1108524694.0,-2.472085,-8.657232,0.10917253
1108524714.0,-3.1160533,-8.032407,-0.6329016
1108524734.0,-3.4657044,-7.318747,-0.7070791
1108524753.0,-3.9230328,-6.5312095,0.2862414
1108524773.0,-4.6316075,-6.100202,1.1697912
1108524793.0,-5.6180487,-5.9973106,1.8711873
1108524812.0,-5.708976,-5.968597,2.6012974
1108524832.0,-4.5909295,-5.851349,4.0737805
1108524852.0,-3.3675988,-6.6460648,6.3768725
1108524872.0,-2.1107686,-9.008977,6.5781684
1108524891.0,-0.88025963,-10.349855,4.7488556
1108524911.0,1.3654044,-11.709577,5.0626144
1108524931.0,3.6014972,-13.713566,4.0307097
1108524951.0,3.1564322,-12.542877,2.2328026
1108524970.0,1.3677973,-9.976275,0.59282184
1108524990.0,-2.3859432,-11.333605,-0.012861421
1108525010.0,-4.7823553,-14.233108,2.1490538
1108525030.0,-1.8568304,-13.471592,10.3797655
1108525049.0,-1.5481563,-7.3235326,0.0948156
1108525069.0,-2.6805596,-4.8696933,-2.292025
1108525089.0,-2.498406,-5.6620164,-1.6911274
1108525109.0,-3.690929,-8.609376,-1.439881
1108525128.0,-4.504788,-10.864612,-2.05035
1108525148.0,-3.7411783,-10.703993,-2.7876384
1108525168.0,-3.4968112,-9.530911,-2.7996025
1108525187.0,-4.1671004,-8.886943,-2.6201408
1108525207.0,-4.796712,-8.970692,2.187339
1108525227.0,-3.4513476,-9.9140625,3.3675988
1108525247.0,-2.2160528,-10.019346,1.3564314
1108525266.0,-1.3731811,-9.547662,-0.74536425
1108525286.0,-0.90418786,-9.341879,-2.0647068
1108525306.0,-1.4234303,-9.205488,-0.9849456
1108525326.0,-2.32373,-8.752945,0.049351968
1108525345.0,-2.7236304,-8.257332,0.67417777
1108525365.0,-2.6638098,-8.058727,0.73399836
1108525385.0,-2.3787649,-7.9244304,0.2335993
1108525405.0,-2.2998016,-7.8837523,-0.34576288
1108525424.0,-2.7379873,-8.5014,-0.7070791
1108525444.0,-3.2503505,-9.473484,-0.695115
1108525464.0,-3.4561331,-9.569197,-0.067896344
1108525484.0,-3.3005998,-8.932407,0.93529457
1108525503.0,-2.9150562,-8.812766,1.4955142
1108525523.0,-2.469692,-9.87817,0.6550352
1108525543.0,-2.0150557,-10.706386,-0.73340017
1108525562.0,-1.524228,-10.488639,-1.1261221
1108525582.0,-1.2080764,-10.201201,-0.5204389
1108525602.0,-1.4114662,-10.182058,0.27188447
1108525622.0,-1.8592232,-10.191629,1.306182
1108525641.0,-2.2184458,-10.198809,2.5869403
1108525661.0,-1.5936198,-11.580364,1.6031911
1108525681.0,-0.6789634,-13.24188,0.4660022
1108525701.0,-0.48993045,-13.3639145,1.1482558
1108525720.0,-2.0820549,-10.536495,3.5853457
1108525740.0,-3.5470605,-8.841479,4.2125645
1108525760.0,-4.119244,-9.250952,1.9094725
1108525780.0,-4.796712,-11.034502,-0.19710876
1108525799.0,-5.4003015,-12.626626,-2.6703901
1108525819.0,-5.759225,-13.038192,-3.2353954
1108525839.0,-4.966902,-12.071192,-1.9331015
1108525859.0,-3.4250264,-10.715957,0.0948156
1108525878.0,-2.970091,-9.643374,1.713261
1108525898.0,-2.8408787,-8.973084,1.1458629
1108525918.0,-1.8903298,-8.503793,0.1378864
1108525937.0,-1.5002998,-8.23819,-0.032004002
1108525957.0,-1.4380864,-7.984251,-0.0080757765
1108525977.0,-1.4330016,-7.637292,0.58564335
1108525997.0,-1.8568304,-7.19432,0.34606197
1108526016.0,-2.7475586,-6.782456,-0.35294133
1108526036.0,-3.5207393,-6.334998,-0.59700924
1108526056.0,-4.133601,-5.748158,-0.58983076
1108526076.0,-4.2125645,-5.35095,-0.024825536
1108526095.0,-4.248756,-5.2815576,0.87278205
1108526115.0,-3.8943188,-5.6189456,2.0844476
1108526135.0,-2.6279175,-7.2613196,3.8488553
1108526155.0,-1.0190433,-9.748958,6.4677997
1108526174.0,0.122931264,-11.884253,6.989734
1108526194.0,1.4997016,-12.679268,6.693024
1108526214.0,3.0535407,-12.777374,5.392824
1108526234.0,3.0269206,-12.071192,3.1833515
1108526253.0,2.6775684,-10.910075,3.7627137
1108526273.0,1.9929222,-9.875777,1.9142581
1108526293.0,-1.4138591,-11.185249,-1.1428719
1108526312.0,-4.121637,-13.131811,-1.8203398
1108526332.0,-2.8480573,-13.217953,-0.02961118
1108526352.0,-0.7052845,-11.606686,9.201899
1108526372.0,-3.0801609,-6.7202425,1.1530414
1108526391.0,-4.380361,-5.168796,1.0357931
1108526411.0,-5.220541,-7.428817,-0.1372882
1108526431.0,-5.946164,-10.127024,-1.9354944
1108526451.0,-5.6874404,-9.909277,-2.9240294
1108526470.0,-4.622036,-8.367402,-3.7334015
1108526490.0,-4.3588257,-7.886145,-2.457429
1108526510.0,-3.8057845,-8.707481,-1.0519446
1108526530.0,-3.257529,-9.12144,-0.465404
1108526549.0,-2.0413768,-9.191131,1.2678969
1108526569.0,-0.37746778,-9.842278,3.0059834
1108526589.0,-0.91136634,-9.547662,0.983151
1108526609.0,-1.7970098,-8.865408,-0.94426763
1108526628.0,-1.8664017,-8.831908,-1.2314063
1108526648.0,-2.1490538,-8.807981,-0.6520442
1108526668.0,-2.390729,-8.886943,0.21684955
1108526687.0,-2.175375,-9.109476,1.1171491
1108526707.0,-1.7946169,-9.463913,1.1434702
1108526727.0,-1.7300107,-9.827921,-0.04636094
1108526747.0,-2.01027,-9.748958,-0.965803
1108526766.0,-2.443371,-9.624231,-0.50368917
1108526786.0,-3.0083764,-9.576375,0.82013994
1108526806.0,-3.415455,-9.609875,1.5433706
1108526826.0,-3.1833515,-9.535697,1.2678969
1108526845.0,-2.2040887,-9.602696,0.30299118
1108526865.0,-1.1626127,-10.071989,-0.7743772
1108526885.0,-0.4660022,-10.517353,-1.7437695
1108526905.0,0.16121642,-10.699207,-1.195514
1108526924.0,1.0710872,-11.503794,1.5409778
1108526944.0,1.5810575,-12.674482,3.9852462
1108526964.0,0.47976094,-13.047763,2.577369
1108526984.0,-2.0054846,-11.968301,0.6358926
1108527003.0,-4.0737805,-10.522139,2.6805596
1108527023.0,-5.3497534,-10.194023,3.2814572
1108527043.0,-6.66431,-11.218749,2.4744778
1108527062.0,-9.21147,-12.636197,1.1506486
1108527082.0,-11.169995,-12.487543,0.03260221
1108527102.0,-10.877771,-10.402497,0.3173481
1108527122.0,-8.814261,-8.221439,0.7268199
1108527141.0,-6.7169523,-6.981359,2.1155543
1108527161.0,-4.9405804,-7.301997,1.5050855
1108527181.0,-4.1718864,-7.4240313,0.25992036
1108527201.0,-3.499204,-6.978966,-1.80359
1108527220.0,-2.4625137,-6.7011,-2.1053848
1108527240.0,-1.6414764,-6.904789,1.1434702
1108527260.0,-1.7754744,-7.416853,3.2240293
1108527280.0,-2.1490538,-7.6540413,1.847259
1108527299.0,-1.9908284,-7.7234335,-0.0056829536
1108527319.0,-1.969293,-7.2972116,-0.4319045
1108527339.0,-2.184946,-6.2988067,-0.21415763
1108527358.0,-2.0413768,-5.5016975,-0.14446667
1108527378.0,-1.9932213,-5.212166,0.14267205
1108527398.0,-1.8161523,-6.059524,1.009472
1108527418.0,-0.47078785,-8.793623,2.9102705
1108527437.0,2.0527427,-12.698411,8.0766735
1108527457.0,4.171288,-15.980765,10.884951
1108527477.0,4.566403,-15.638292,8.93151
1108527497.0,3.6281173,-13.246666,9.283255
1108527516.0,2.2154546,-11.283355,7.8349986
1108527536.0,-2.1394825,-10.886147,2.2686949
1108527556.0,-6.2380886,-11.07518,-1.2002996
1108527576.0,-6.877271,-8.266903,1.1841481
1108527595.0,-4.636393,-5.7843494,4.76082
1108527615.0,-3.405884,-7.5439715,-2.277668
1108527635.0,-4.150351,-8.743374,-2.5555346
1108527655.0,-4.025924,-10.292427,-2.3231318
1108527674.0,-3.2192438,-10.682458,-2.3973093
1108527694.0,-2.5585256,-9.794421,-2.4789643
1108527714.0,-2.2519453,-9.111869,-2.6895328
1108527734.0,-1.9573289,-9.456735,-2.6344976
1108527753.0,-0.33200413,-9.847063,-1.7294126
1108527773.0,-2.053341,-9.29163,0.82731843
1108527793.0,-2.7068806,-9.102298,1.9788643
1108527812.0,-2.8863423,-8.590233,1.9908284
1108527832.0,-3.0562327,-8.137691,0.9592228
1108527852.0,-2.9676983,-8.190332,-0.115752794
1108527872.0,-3.121138,-8.525328,-0.12771691
1108527891.0,-3.147459,-8.865408,1.5433706
1108527911.0,-2.9892337,-9.303594,3.3317065
1108527931.0,-2.716452,-9.705887,2.577369
1108527951.0,-2.3476582,-9.322736,0.6095716
1108527970.0,-1.8951155,-8.7984085,-0.5180461
1108527990.0,-1.7324036,-8.690732,-0.8700901
1108528010.0,-1.7419748,-9.200702,-0.9634102
1108528030.0,-2.2998016,-9.894919,-0.6903293
1108528049.0,-2.8600214,-10.194023,0.76510507
1108528069.0,-2.9676983,-9.902099,2.3452654
1108528089.0,-2.7499514,-9.854242,2.1323042
1108528109.0,-2.225624,-10.287642,0.51864433
1108528128.0,-1.5888343,-10.297214,-0.5491528
1108528148.0,-1.1626127,-10.045668,0.07806584
1108528168.0,-0.7818548,-10.929217,2.321337
1108528188.0,-0.042173497,-13.119846,3.987639
1108528207.0,0.47736812,-14.343177,3.2671003
1108528227.0,0.28594232,-13.318451,1.9262222
1108528247.0,-1.2966107,-10.184451,2.4505496
1108528266.0,-2.4960132,-8.62134,1.361217
