timestamp_ms,ax,ay,az
1105310758.0,-1.0549357,2.2552354,9.905987
1105310777.0,-0.82013994,2.367698,10.047163
1105310797.0,-0.03260221,2.5902305,9.9394865
1105310817.0,0.465404,2.396412,9.929914
1105310837.0,0.62093747,2.3892334,9.661619
1105310856.0,0.42951167,2.449054,9.374481
1105310876.0,0.49172506,2.4299114,8.754142
1105310896.0,1.0304092,2.7819555,8.636893
1105310916.0,1.1452647,3.586243,8.519645
1105310935.0,1.6265212,4.2924247,7.157531
1105310955.0,3.0460632,2.7939196,6.178268
1105310975.0,3.0460632,0.2656033,8.924331
1105310995.0,2.6321049,1.718944,8.902796
1105311014.0,2.7852457,1.9055841,10.729417
1105311034.0,2.1747768,2.6404798,10.073484
1105311054.0,0.8102696,3.5647075,7.3728848
1105311073.0,1.3390833,1.8505492,5.601299
1105311093.0,2.1197417,0.33499518,4.301398
1105311113.0,1.0375878,0.39481574,4.8975096
1105311133.0,-0.08045866,0.48125646,8.191529
1105311152.0,0.30029923,0.016749758,10.190733
1105311172.0,-0.116351,0.58893347,9.946665
1105311192.0,0.3792624,0.19142582,8.763713
1105311212.0,1.8729819,-0.9026923,8.682357
1105311231.0,3.3574293,-1.3863416,8.715857
1105311251.0,3.4483566,-1.6830516,8.976974
1105311271.0,1.6265212,-1.189831,8.778369
1105311291.0,1.805983,-0.8021938,8.383254
1105311310.0,3.4124641,-1.5346966,9.364909
1105311330.0,4.686044,-2.2863421,10.7126665
1105311350.0,5.4810596,-2.8920252,10.863415
1105311369.0,4.796413,-2.7915268,10.612168
1105311389.0,3.903292,-2.3581266,10.415658
1105311409.0,4.3941197,-2.5498517,10.147662
1105311429.0,5.605486,-3.423531,10.016056
1105311448.0,6.879066,-4.2329035,9.783653
1105311468.0,7.0803623,-4.5248275,9.350553
1105311488.0,5.9551373,-4.2568316,9.328718
1105311508.0,5.636593,-4.2999024,9.189935
1105311527.0,6.527321,-4.5128636,9.17797
1105311547.0,7.331609,-5.128118,9.527621
1105311567.0,7.1712894,-5.5160546,10.07827
1105311586.0,6.785746,-5.683552,9.623335
1105311606.0,6.3044896,-5.3557353,9.032008
1105311626.0,6.606284,-5.494519,8.819047
1105311646.0,7.257431,-6.0212393,8.129315
1105311665.0,7.2550383,-6.1193447,7.231708
1105311685.0,7.597511,-5.7194443,6.8629146
1105311705.0,8.164909,-5.803492,6.8916283
1105311725.0,8.466405,-5.9207406,6.364908
1105311744.0,7.7817583,-5.482555,6.084948
1105311764.0,6.919744,-4.2999024,6.882057
1105311784.0,7.3986077,-4.1515474,6.556633
1105311804.0,8.667701,-4.517649,5.328218
1105311823.0,9.345169,-4.5655055,4.7823553
1105311843.0,8.341978,-3.7516468,4.825426
1105311863.0,7.2957163,-2.894418,4.5526443
